,Country Name,Country Code,2021
0,Aruba,ABW,106537.0
2,Afghanistan,AFG,40099462.0
4,Angola,AGO,34503774.0
5,Albania,ALB,2811666.0
6,Andorra,AND,79034.0
8,United Arab Emirates,ARE,9365145.0
9,Argentina,ARG,45808747.0
10,Armenia,ARM,2790974.0
11,American Samoa,ASM,45035.0
12,Antigua and Barbuda,ATG,93219.0
13,Australia,AUS,25688079.0
14,Austria,AUT,8955797.0
15,Azerbaijan,AZE,10137750.0
16,Burundi,BDI,12551213.0
17,Belgium,BEL,11592952.0
18,Benin,BEN,12996895.0
19,Burkina Faso,BFA,22100683.0
20,Bangladesh,BGD,169356251.0
21,Bulgaria,BGR,6877743.0
22,Bahrain,BHR,1463265.0
23,"Bahamas, The",BHS,407906.0
24,Bosnia and Herzegovina,BIH,3270943.0
25,Belarus,BLR,9340314.0
26,Belize,BLZ,400031.0
27,Bermuda,BMU,63867.0
28,Bolivia,BOL,12079472.0
29,Brazil,BRA,214326223.0
30,Barbados,BRB,281200.0
31,Brunei Darussalam,BRN,445373.0
32,Bhutan,BTN,777486.0
33,Botswana,BWA,2588423.0
34,Central African Republic,CAF,5457154.0
35,Canada,CAN,38246108.0
36,Central Europe and the Baltics,CEB,101430997.0
37,Switzerland,CHE,8703405.0
38,Channel Islands,CHI,172683.0
39,Chile,CHL,19493184.0
40,China,CHN,1412360000.0
41,Cote d'Ivoire,CIV,27478249.0
42,Cameroon,CMR,27198628.0
43,"Congo, Dem. Rep.",COD,95894118.0
44,"Congo, Rep.",COG,5835806.0
45,Colombia,COL,51516562.0
46,Comoros,COM,821625.0
47,Cabo Verde,CPV,587925.0
48,Costa Rica,CRI,5153957.0
49,Caribbean small states,CSS,7481877.0
50,Cuba,CUB,11256372.0
51,Curacao,CUW,152369.0
52,Cayman Islands,CYM,68136.0
53,Cyprus,CYP,1244188.0
54,Czechia,CZE,10505772.0
55,Germany,DEU,83196078.0
56,Djibouti,DJI,1105557.0
57,Dominica,DMA,72412.0
58,Denmark,DNK,5856733.0
59,Dominican Republic,DOM,11117873.0
60,Algeria,DZA,44177969.0
66,Ecuador,ECU,17797737.0
67,"Egypt, Arab Rep.",EGY,109262178.0
69,Eritrea,ERI,3620312.0
70,Spain,ESP,47415750.0
